strain,crop_path,source_image,area_px,equiv_diameter_px,circularity,mean_hue,mean_sat,mean_val,mean_B,mean_G,mean_R
ALE,cropped_colonies\ALE\ALE(앞)-2__colony03.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,80.5,10.12,0.898,61.0,126.4,43.7,26.8,43.7,26.5
ALE,cropped_colonies\ALE\ALE(앞)-2__colony04.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,75.0,9.77,0.809,65.1,130.2,36.8,23.0,36.8,20.4
ALE,cropped_colonies\ALE\ALE(앞)-2__colony05.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-2.jpg,114.5,12.07,0.882,62.5,137.8,37.5,22.1,37.5,20.9
ALE,cropped_colonies\ALE\ALE(앞)-3__colony01.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-3.jpg,91.5,10.79,0.78,72.3,115.9,60.1,45.3,60.1,34.8
ALE,cropped_colonies\ALE\ALE(앞)-3__colony02.jpg,Colony picture (1)\Colony picture\ALE\ALE(앞)-3.jpg,45.0,7.57,0.882,73.5,120.2,66.4,50.7,66.4,37.7
HMF,cropped_colonies\HMF\HMF(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-1.jpg,345.0,20.96,0.908,58.2,115.4,45.7,27.8,45.7,30.1
HMF,cropped_colonies\HMF\HMF(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-1.jpg,182.5,15.24,0.916,59.2,135.5,37.2,20.7,37.2,21.9
HMF,cropped_colonies\HMF\HMF(뒤)-2__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(뒤)-2.jpg,123.5,12.54,0.748,65.5,153.2,38.6,24.4,38.6,21.0
HMF,cropped_colonies\HMF\HMF(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-1.jpg,216.5,16.6,0.808,51.3,153.6,41.8,19.7,41.8,27.9
HMF,cropped_colonies\HMF\HMF(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-1.jpg,377.5,21.92,0.862,52.4,151.8,42.6,21.4,42.6,28.9
HMF,cropped_colonies\HMF\HMF(앞)-2__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-2.jpg,54.0,8.29,0.857,69.2,94.2,37.6,28.6,37.6,24.6
HMF,cropped_colonies\HMF\HMF(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-2.jpg,426.0,23.29,0.863,71.8,150.4,24.9,16.8,24.8,12.4
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,41.0,7.23,0.884,44.7,121.6,73.3,42.5,73.3,58.5
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,646.5,28.69,0.869,51.3,156.0,49.6,25.0,49.6,36.0
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,652.5,28.82,0.893,45.4,175.7,60.7,25.2,60.7,45.1
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,680.0,29.42,0.888,48.9,164.9,53.3,24.4,53.3,38.4
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony05.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,33.0,6.48,0.884,39.4,118.2,104.2,59.3,104.2,90.3
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony06.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,879.5,33.46,0.889,48.3,181.0,53.7,21.8,53.7,38.5
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony07.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,1908.0,49.29,0.799,54.0,169.5,42.5,19.5,42.5,28.9
HS19,cropped_colonies\HS19\HS19(뒤)-1__colony08.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,779.0,31.49,0.889,48.6,166.3,52.0,23.1,52.0,37.3
HS19,cropped_colonies\HS19\HS19(뒤)-3__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-3.jpg,197.5,15.86,0.306,76.8,141.0,41.6,32.9,41.6,21.9
HS19,cropped_colonies\HS19\HS19(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,707.5,30.01,0.883,55.2,185.2,41.6,19.6,41.6,27.5
HS19,cropped_colonies\HS19\HS19(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,692.0,29.68,0.904,49.0,173.3,58.1,25.1,58.1,40.5
HS19,cropped_colonies\HS19\HS19(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,736.0,30.61,0.888,51.6,187.6,47.2,20.2,47.2,31.7
HS19,cropped_colonies\HS19\HS19(앞)-1__colony04.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,693.0,29.7,0.89,49.4,177.7,55.2,23.7,55.2,38.6
HS19,cropped_colonies\HS19\HS19(앞)-1__colony05.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,39.0,7.05,0.902,42.4,108.8,104.2,63.5,104.2,87.7
HS19,cropped_colonies\HS19\HS19(앞)-1__colony06.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,936.5,34.53,0.887,50.6,189.9,50.3,20.3,50.3,34.1
HS19,cropped_colonies\HS19\HS19(앞)-1__colony07.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,2024.0,50.76,0.792,57.4,207.1,32.6,13.1,32.6,20.0
HS19,cropped_colonies\HS19\HS19(앞)-1__colony08.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,832.0,32.55,0.881,52.5,191.5,45.1,18.4,45.1,29.2
HS19,cropped_colonies\HS19\HS19(앞)-1__colony09.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,1307.5,40.8,0.882,55.7,194.9,36.8,15.5,36.8,23.6
HS19,cropped_colonies\HS19\HS19(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-2.jpg,270.5,18.56,0.101,69.8,185.7,29.9,19.3,29.9,15.1
HS19,cropped_colonies\HS19\HS19(앞)-2__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-2.jpg,79.5,10.06,0.79,73.2,142.1,43.8,31.4,43.8,22.1
HS19,cropped_colonies\HS19\HS19(앞)-3__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-3.jpg,80.5,10.12,0.898,59.3,88.5,54.2,36.6,54.2,37.2
HS19,cropped_colonies\HS19\HS19(앞)-3__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-3.jpg,187.0,15.43,0.822,62.9,85.9,47.9,34.6,47.9,34.2
HS2,cropped_colonies\HS2\HS2(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,582.0,27.22,0.878,56.8,170.9,29.7,14.9,29.7,18.5
HS2,cropped_colonies\HS2\HS2(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,505.5,25.37,0.879,52.8,172.5,31.1,14.8,31.1,20.8
HS2,cropped_colonies\HS2\HS2(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,800.5,31.93,0.863,58.5,176.4,27.3,13.2,27.2,17.3
HS2,cropped_colonies\HS2\HS2(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,760.0,31.11,0.902,54.6,179.8,32.2,13.8,32.2,20.0
HS2,cropped_colonies\HS2\HS2(뒤)-3__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-3.jpg,86.5,10.49,0.86,68.6,120.5,50.3,36.5,50.3,30.1
HS2,cropped_colonies\HS2\HS2(뒤)-3__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-3.jpg,101.0,11.34,0.872,65.3,117.0,47.1,31.7,47.1,28.3
HS2,cropped_colonies\HS2\HS2(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,655.5,28.89,0.86,65.4,174.0,28.2,15.8,28.2,15.0
HS2,cropped_colonies\HS2\HS2(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,560.5,26.71,0.873,60.1,177.2,29.6,14.7,29.6,16.4
HS2,cropped_colonies\HS2\HS2(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,790.5,31.73,0.893,67.9,160.9,32.4,20.3,32.3,17.2
