strain,plate_group,crop_path,source_image,equiv_diameter,circularity,solidity,mean_hue,mean_sat,mean_val,std_hue,std_sat,std_val,texture_std
HMF,HMF_plate2,cropped_colonies\HMF\HMF(앞)-2__colony01.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-2.jpg,8.292,0.857,0.956,69.224,94.239,37.642,3.623,24.166,9.358,9.264
HMF,HMF_plate2,cropped_colonies\HMF\HMF(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\HMF\HMF(앞)-2.jpg,23.289,0.863,0.969,71.755,150.416,24.928,11.73,44.362,12.263,11.704
HS19,HS19_plate1,cropped_colonies\HS19\HS19(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,7.225,0.884,0.976,44.731,121.558,73.308,1.57,54.657,20.599,21.17
HS19,HS19_plate1,cropped_colonies\HS19\HS19(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,28.691,0.869,0.971,51.255,155.975,49.599,10.491,64.736,34.048,32.423
HS19,HS19_plate1,cropped_colonies\HS19\HS19(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,28.823,0.893,0.983,45.365,175.658,60.728,6.083,58.406,38.788,37.484
HS19,HS19_plate1,cropped_colonies\HS19\HS19(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,29.425,0.888,0.977,48.863,164.895,53.268,8.558,60.265,34.618,33.411
HS19,HS19_plate1,cropped_colonies\HS19\HS19(뒤)-1__colony05.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,6.482,0.884,0.985,39.364,118.227,104.227,1.367,39.786,23.614,24.106
HS19,HS19_plate1,cropped_colonies\HS19\HS19(뒤)-1__colony06.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,33.464,0.889,0.98,48.287,181.003,53.654,9.427,58.7,38.118,36.448
HS19,HS19_plate1,cropped_colonies\HS19\HS19(뒤)-1__colony07.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,49.288,0.799,0.974,54.029,169.549,42.457,11.438,57.174,34.419,32.529
HS19,HS19_plate1,cropped_colonies\HS19\HS19(뒤)-1__colony08.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-1.jpg,31.494,0.889,0.982,48.56,166.303,52.018,8.071,59.44,34.379,33.073
HS19,HS19_plate3,cropped_colonies\HS19\HS19(뒤)-3__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(뒤)-3.jpg,15.858,0.306,0.742,76.783,141.029,41.579,2.735,53.929,17.696,17.537
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,30.014,0.883,0.976,55.201,185.244,41.609,13.22,59.143,33.79,32.256
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,29.683,0.904,0.983,49.011,173.302,58.071,9.476,51.964,35.057,34.466
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,30.612,0.888,0.977,51.572,187.607,47.197,10.831,56.475,35.172,34.004
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony04.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,29.704,0.89,0.981,49.394,177.715,55.224,10.134,53.333,36.243,35.249
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony05.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,7.047,0.902,0.975,42.4,108.78,104.24,1.523,41.432,24.5,25.21
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony06.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,34.531,0.887,0.982,50.564,189.909,50.28,10.759,54.977,36.001,34.999
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony07.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,50.765,0.792,0.972,57.398,207.084,32.647,13.252,52.602,32.079,30.086
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony08.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,32.547,0.881,0.982,52.501,191.487,45.064,11.055,52.489,33.993,32.703
HS19,HS19_plate1,cropped_colonies\HS19\HS19(앞)-1__colony09.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-1.jpg,40.801,0.882,0.977,55.69,194.852,36.775,13.431,53.075,31.2,29.634
HS19,HS19_plate2,cropped_colonies\HS19\HS19(앞)-2__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-2.jpg,18.558,0.101,0.418,69.765,185.673,29.911,8.677,66.775,28.416,27.015
HS19,HS19_plate2,cropped_colonies\HS19\HS19(앞)-2__colony03.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-2.jpg,10.061,0.79,0.935,73.156,142.083,43.844,5.415,42.088,17.5,16.936
HS19,HS19_plate3,cropped_colonies\HS19\HS19(앞)-3__colony01.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-3.jpg,10.124,0.898,0.976,59.302,88.469,54.198,2.955,15.474,11.626,11.515
HS19,HS19_plate3,cropped_colonies\HS19\HS19(앞)-3__colony02.jpg,Colony picture (1)\Colony picture\HS19\HS19(앞)-3.jpg,15.43,0.822,0.954,62.948,85.886,47.886,11.638,12.669,14.142,13.474
HS2,HS2_plate1,cropped_colonies\HS2\HS2(뒤)-1__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,27.222,0.878,0.975,56.839,170.912,29.699,10.439,60.294,22.65,21.651
HS2,HS2_plate1,cropped_colonies\HS2\HS2(뒤)-1__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,25.37,0.879,0.972,52.77,172.497,31.061,9.573,62.9,25.361,24.012
HS2,HS2_plate1,cropped_colonies\HS2\HS2(뒤)-1__colony03.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,31.925,0.863,0.977,58.457,176.378,27.306,15.398,63.989,24.253,22.817
HS2,HS2_plate1,cropped_colonies\HS2\HS2(뒤)-1__colony04.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-1.jpg,31.107,0.902,0.981,54.639,179.822,32.153,10.241,57.793,23.481,22.093
HS2,HS2_plate3,cropped_colonies\HS2\HS2(뒤)-3__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-3.jpg,10.495,0.86,0.966,68.553,120.534,50.34,5.91,38.802,25.504,24.444
HS2,HS2_plate3,cropped_colonies\HS2\HS2(뒤)-3__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(뒤)-3.jpg,11.34,0.872,0.971,65.294,116.966,47.059,4.846,33.119,22.635,21.649
HS2,HS2_plate1,cropped_colonies\HS2\HS2(앞)-1__colony01.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,28.89,0.86,0.973,65.436,173.979,28.233,12.794,56.837,19.715,18.385
HS2,HS2_plate1,cropped_colonies\HS2\HS2(앞)-1__colony02.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,26.714,0.873,0.975,60.068,177.203,29.592,10.992,57.639,19.752,18.753
HS2,HS2_plate1,cropped_colonies\HS2\HS2(앞)-1__colony03.jpg,Colony picture (1)\Colony picture\HS2\HS2(앞)-1.jpg,31.725,0.893,0.981,67.875,160.92,32.424,14.548,54.952,16.892,16.109
